Timestamp,X,Y,Z
0.008,0.30645782,0.24899697,9.720459
0.028,0.29688102,0.24899697,9.739613
0.049,0.29688102,0.24899697,9.749189
0.069,0.2873042,0.24899697,9.720459
0.09,0.29688102,0.25857377,9.730036
0.111,0.2873042,0.25857377
0.131,0.30645782,0.25857377,9.749189
0.152,0.29688102,0.24899697,9.720459
0.173,0.2873042,0.25857377,9.710882
0.194,0.29688102,0.25857377,9.720459
0.215,0.2873042,0.25857377,9.739613
0.236,0.29688102,0.25857377,9.730036
0.256,0.30645782,0.24899697,9.720459
0.277,0.2873042,0.23942018,9.720459
0.298,0.30645782,0.24899697,9.739613
0.319,0.29688102,0.25857377,9.720459
0.34,0.29688102,0.23942018,9.730036
0.36,0.31603462,0.24899697,9.730036
0.381,0.30645782,0.24899697,9.730036
0.402,0.29688102,0.24899697,9.730036
0.423,0.29688102,0.25857377,9.720459
0.444,0.2873042,0.2681506,9.739613
0.465,0.29688102,0.25857377,9.730036
0.486,0.30645782,0.2681506,9.739613
0.507,0.29688102,0.24899697,9.739613
0.527,0.29688102,0.24899697,9.720459
0.548,0.30645782,0.2681506,9.739613
0.569,0.2777274,0.25857377,9.749189
0.59,0.29688102,0.24899697,9.739613
0.611,0.2873042,0.25857377,9.739613
0.632,0.2873042,0.24899697,9.739613
0.653,0.2873042,0.25857377,9.739613
0.673,0.29688102,0.24899697,9.730036
0.694,0.2873042,0.25857377,9.730036
0.715,0.30645782,0.24899697,9.739613
0.735,0.30645782,0.25857377,9.730036
0.756,0.30645782,0.23942018,9.739613
0.776,0.30645782,0.24899697,9.739613
0.797,0.30645782,0.24899697,9.749189
0.817,0.30645782,0.25857377,9.739613
0.838,0.29688102,0.25857377,9.749189
0.858,0.30645782,0.25857377,9.739613
0.879,0.29688102,0.25857377,9.739613
0.899,0.30645782,0.25857377,9.749189
0.92,0.29688102,0.24899697,9.739613
0.94,0.29688102,0.24899697,9.749189
0.961,0.29688102,0.2681506,9.739613
0.982,0.29688102,0.23942018,9.730036
1.002,0.2873042,0.25857377,9.749189
1.023,0.31603462,0.2681506,9.749189
1.043,0.29688102,0.25857377,9.749189
1.064,0.30645782,0.23942018,9.749189
1.084,0.29688102,0.25857377,9.758766
1.105,0.2777274,0.2777274,9.80665
1.126,0.31603462,0.24899697,9.730036
1.147,0.30645782,0.24899697,9.730036
1.167,0.30645782,0.24899697,9.758766
1.188,0.30645782,0.25857377,9.749189
1.21,0.29688102,0.24899697,9.758766
1.232,0.30645782,0.24899697,9.758766
1.253,0.2873042,0.24899697,9.749189
1.273,0.2873042,0.25857377,9.739613
1.294,0.29688102,0.25857377,9.749189
1.315,0.2873042,0.23942018,9.749189
1.336,0.31603462,0.24899697,9.739613
1.357,0.30645782,0.25857377,9.749189
1.377
1.398,0.29688102,0.24899697,9.758766
1.419,0.2873042,0.23942018,9.758766
1.442,0.2777274,0.2681506,9.749189
1.463,0.30645782,0.24899697,9.758766
1.483,0.29688102,0.25857377,9.758766
1.504,0.2873042,0.25857377,9.758766
1.525,0.30645782,0.23942018,9.758766
1.546,0.29688102,0.24899697,9.768343
1.566,0.2873042,0.25857377,9.749189
1.587,0.2873042,0.24899697,9.768343
1.608,0.29688102,0.24899697,9.758766
1.629,0.29688102,0.24899697,9.768343
1.65,0.29688102,0.25857377,9.758766
1.671,0.29688102,0.24899697,9.768343
1.692,0.29688102,0.25857377,9.768343
1.713,0.29688102,0.25857377,9.768343
1.734,0.30645782,0.25857377,9.768343
1.757,0.29688102,0.25857377,9.77792
1.778,0.2873042,0.25857377,9.768343
1.799,0.29688102,0.2777274,9.758766
1.82,0.30645782,0.25857377,9.77792
