170912 15:52:59;48.86872;2.34188;0;"http://maps.google.com/maps?q=48.86872%2C2.34188"
170912 15:53:19;48.86886;2.34196;0;"http://maps.google.com/maps?q=48.86885%2C2.34196"
170912 15:53:32;48.86902;2.34202;0;"http://maps.google.com/maps?q=48.86902%2C2.34202"
170912 15:53:41;48.86921;2.34211;0;"http://maps.google.com/maps?q=48.86921%2C2.34211"
170912 15:53:58;48.8694;2.34218;0;"http://maps.google.com/maps?q=48.8694%2C2.34218"
170912 15:54:06;48.86943;2.34212;0;"http://maps.google.com/maps?q=48.86943%2C2.34212"
170912 15:54:15;48.86948;2.34197;0;"http://maps.google.com/maps?q=48.86948%2C2.34197"
170912 15:54:26;48.86955;2.34172;0;"http://maps.google.com/maps?q=48.86955%2C2.34172"
170912 15:54:35;48.8696;2.3415;0;"http://maps.google.com/maps?q=48.8696%2C2.3415"
170912 15:54:44;48.86965;2.34127;0;"http://maps.google.com/maps?q=48.86965%2C2.34127"
170912 15:54:57;48.86969;2.341;0;"http://maps.google.com/maps?q=48.86969%2C2.341"
170912 15:55:06;48.86965;2.34085;0;"http://maps.google.com/maps?q=48.86965%2C2.34085"
170912 15:55:14;48.86952;2.34078;0;"http://maps.google.com/maps?q=48.86952%2C2.34078"
170912 15:55:23;48.86934;2.34071;0;"http://maps.google.com/maps?q=48.86934%2C2.34071"
170912 15:55:32;48.86924;2.3406;0;"http://maps.google.com/maps?q=48.86924%2C2.3406"
170912 15:55:38;48.86913;2.34057;0;"http://maps.google.com/maps?q=48.86913%2C2.34057"
170912 15:55:50;48.86896;2.34052;0;"http://maps.google.com/maps?q=48.86897%2C2.34052"
170912 15:55:58;48.8689;2.34058;0;"http://maps.google.com/maps?q=48.8689%2C2.34058"
170912 15:56:06;48.86886;2.34077;0;"http://maps.google.com/maps?q=48.86887%2C2.34077"
170912 15:56:11;48.86884;2.3409;0;"http://maps.google.com/maps?q=48.86884%2C2.3409"
170912 15:56:19;48.86882;2.34104;0;"http://maps.google.com/maps?q=48.86882%2C2.34104"
170912 15:56:29;48.86862;2.34138;0;"http://maps.google.com/maps?q=48.86862%2C2.34138"
170912 15:56:35;48.86876;2.34143;0;"http://maps.google.com/maps?q=48.86876%2C2.34143"
170912 15:56:43;48.86873;2.34162;0;"http://maps.google.com/maps?q=48.86873%2C2.34161"
170912 15:56:50;48.86871;2.34175;0;"http://maps.google.com/maps?q=48.86871%2C2.34175"
170912 15:56:57;48.86871;2.34184;0;"http://maps.google.com/maps?q=48.86871%2C2.34184"
